Date,Clicks,Impressions,CTR,Position
2025-05-19,0,0,,
2025-05-20,0,0,,
2025-05-21,0,10,0%,42.9
2025-05-22,0,1,0%,97
2025-05-23,1,7,14.29%,49.4
2025-05-24,0,7,0%,47.3
2025-05-25,0,3,0%,71
2025-05-26,0,8,0%,62.9
2025-05-27,0,8,0%,69.6
2025-05-28,1,7,14.29%,81.6
2025-05-29,0,4,0%,74.5
2025-05-30,0,0,,
2025-05-31,0,1,0%,98
2025-06-01,0,0,,
2025-06-02,0,2,0%,45.5
2025-06-03,0,1,0%,1
2025-06-04,0,1,0%,32
2025-06-05,0,0,,
2025-06-06,0,0,,
2025-06-07,0,0,,
2025-06-08,0,0,,
2025-06-09,0,0,,
2025-06-10,0,1,0%,3
2025-06-11,0,0,,
2025-06-12,1,1,100%,5
2025-06-13,0,2,0%,1
2025-06-14,0,0,,
2025-06-15,0,0,,
2025-06-16,0,0,,
2025-06-17,0,0,,
2025-06-18,0,1,0%,1
2025-06-19,0,0,,
2025-06-20,0,2,0%,1
2025-06-21,0,3,0%,1
2025-06-22,0,0,,
2025-06-23,0,0,,
2025-06-24,0,2,0%,3
2025-06-25,0,0,,
2025-06-26,0,0,,
2025-06-27,0,0,,
2025-06-28,0,0,,
2025-06-29,0,1,0%,1
2025-06-30,0,0,,
2025-07-01,0,0,,
2025-07-02,0,0,,
2025-07-03,0,1,0%,1
2025-07-04,0,0,,
2025-07-05,0,0,,
2025-07-06,0,0,,
2025-07-07,0,0,,
2025-07-08,0,0,,
2025-07-09,0,0,,
2025-07-10,0,0,,
2025-07-11,0,0,,
2025-07-12,0,0,,
2025-07-13,0,1,0%,1
2025-07-14,0,0,,
2025-07-15,0,0,,
2025-07-16,0,1,0%,1
2025-07-17,0,1,0%,3
2025-07-18,0,1,0%,1
2025-07-19,0,0,,
2025-07-20,0,0,,
2025-07-21,0,0,,
2025-07-22,0,0,,
2025-07-23,0,0,,
2025-07-24,0,0,,
2025-07-25,0,0,,
2025-07-26,0,0,,
2025-07-27,0,0,,
2025-07-28,0,0,,
2025-07-29,0,0,,
2025-07-30,0,0,,
2025-07-31,0,1,0%,1
2025-08-01,0,0,,
2025-08-02,0,1,0%,1
2025-08-03,0,0,,
2025-08-04,0,0,,
2025-08-05,0,0,,
2025-08-06,0,0,,
2025-08-07,0,0,,
2025-08-08,0,0,,
2025-08-09,0,1,0%,1
2025-08-10,0,0,,
2025-08-11,0,0,,
2025-08-12,0,0,,
2025-08-13,0,0,,
2025-08-14,0,0,,
2025-08-15,0,0,,
2025-08-16,0,0,,
2025-08-17,0,2,0%,1
2025-08-18,0,0,,
2025-08-19,0,0,,
2025-08-20,0,0,,
2025-08-21,0,1,0%,2
2025-08-22,0,0,,
2025-08-23,0,0,,
2025-08-24,0,0,,
2025-08-25,0,0,,
2025-08-26,0,6,0%,4.7
2025-08-27,0,24,0%,69.5
2025-08-28,0,18,0%,60.4
2025-08-29,0,14,0%,63.1
2025-08-30,0,6,0%,86.3
2025-08-31,0,4,0%,82.5
2025-09-01,0,13,0%,71.2
2025-09-02,0,6,0%,84
2025-09-03,1,6,16.67%,44.7
2025-09-04,0,10,0%,67.1
2025-09-05,0,11,0%,48.4
2025-09-06,0,5,0%,83
2025-09-07,0,6,0%,56.5
2025-09-08,0,2,0%,80
2025-09-09,0,6,0%,23.3
2025-09-10,0,7,0%,93
2025-09-11,0,5,0%,71.6
2025-09-12,0,3,0%,61.7
2025-09-13,0,0,,
2025-09-14,0,0,,
2025-09-15,0,1,0%,1
2025-09-16,0,2,0%,4
2025-09-17,0,2,0%,8
2025-09-18,0,10,0%,4.9
2025-09-19,0,11,0%,4.9
2025-09-20,0,16,0%,5.4
2025-09-21,0,10,0%,6.7
2025-09-22,0,6,0%,4.2
2025-09-23,0,3,0%,4
2025-09-24,0,1,0%,8
2025-09-25,0,4,0%,52
2025-09-26,0,1,0%,53
2025-09-27,0,2,0%,1.5
2025-09-28,1,3,33.33%,1
2025-09-29,0,1,0%,1
2025-09-30,0,14,0%,5.6
2025-10-01,0,3,0%,5.7
2025-10-02,0,2,0%,2.5
2025-10-03,0,5,0%,6.4
2025-10-04,0,7,0%,21.4
2025-10-05,0,4,0%,28.5
2025-10-06,0,1,0%,9
2025-10-07,0,3,0%,3.3
2025-10-08,0,0,,
2025-10-09,0,1,0%,11
2025-10-10,0,0,,
2025-10-11,0,1,0%,83
2025-10-12,0,1,0%,5
2025-10-13,0,0,,
2025-10-14,0,1,0%,3
2025-10-15,0,1,0%,1
2025-10-16,0,3,0%,2.7
2025-10-17,0,1,0%,68
2025-10-18,0,1,0%,82
2025-10-19,0,2,0%,49.5
