Country,Clicks,Impressions,CTR,Position
United Kingdom,6,739,0.81%,73.4
United States,1,356,0.28%,43.16
Pakistan,1,14,7.14%,12.64
Ukraine,1,8,12.5%,19.62
Austria,1,3,33.33%,3.33
Kazakhstan,1,1,100%,1
Sweden,0,82,0%,70.88
Canada,0,42,0%,56.67
India,0,41,0%,32.95
France,0,28,0%,63
New Zealand,0,27,0%,69.48
Philippines,0,25,0%,20.68
Greece,0,22,0%,86.36
Italy,0,20,0%,64.45
Brazil,0,19,0%,36.95
Russia,0,19,0%,62.79
Indonesia,0,18,0%,13.61
Poland,0,17,0%,41.88
Turkey,0,14,0%,38.21
Germany,0,14,0%,45.21
Argentina,0,14,0%,56.43
Vietnam,0,13,0%,43
Finland,0,13,0%,59.23
Australia,0,9,0%,43
Spain,0,9,0%,58.33
Egypt,0,8,0%,12.25
Bangladesh,0,7,0%,11.29
South Korea,0,7,0%,20.57
Romania,0,6,0%,39
South Africa,0,5,0%,12.6
Netherlands,0,4,0%,37.75
Portugal,0,4,0%,39.25
Thailand,0,4,0%,47
United Arab Emirates,0,4,0%,50.25
Malaysia,0,3,0%,4
Peru,0,3,0%,4.67
Mexico,0,3,0%,10
Kenya,0,3,0%,11.67
Saudi Arabia,0,3,0%,20
Togo,0,3,0%,24.33
Ireland,0,3,0%,26.67
Colombia,0,3,0%,32
Hungary,0,3,0%,34
Switzerland,0,3,0%,48
Serbia,0,3,0%,51.67
Uzbekistan,0,3,0%,55.33
Laos,0,2,0%,3.5
Côte d’Ivoire,0,2,0%,6
Ghana,0,2,0%,6
Puerto Rico,0,2,0%,11
Israel,0,2,0%,38.5
Honduras,0,2,0%,45.5
Japan,0,2,0%,47.5
Lithuania,0,2,0%,49.5
Singapore,0,2,0%,50
Chile,0,2,0%,53
Slovakia,0,2,0%,61
Armenia,0,1,0%,2
Morocco,0,1,0%,2
Uruguay,0,1,0%,2
Czechia,0,1,0%,3
Syria,0,1,0%,3
Gabon,0,1,0%,4
Georgia,0,1,0%,4
Slovenia,0,1,0%,4
Cambodia,0,1,0%,5
Maldives,0,1,0%,5
Nepal,0,1,0%,5
Dominican Republic,0,1,0%,6
Latvia,0,1,0%,6
Montenegro,0,1,0%,6
Jersey,0,1,0%,7
Tunisia,0,1,0%,7
Ecuador,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Ethiopia,0,1,0%,9
Haiti,0,1,0%,10
Jamaica,0,1,0%,10
Malta,0,1,0%,10
Sri Lanka,0,1,0%,11
Rwanda,0,1,0%,11
Lebanon,0,1,0%,15
Bolivia,0,1,0%,44
Norway,0,1,0%,47
Unknown Region,0,1,0%,58
Cape Verde,0,1,0%,59
Iran,0,1,0%,59
Barbados,0,1,0%,61
Seychelles,0,1,0%,89
Panama,0,1,0%,94
Denmark,0,1,0%,96
